title,author,rating,publication_date
Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,3.74,06/10/99
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,3.65,04/01/05
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,3.95,11/26/03
The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13,10/01/05
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07,04/18/03
Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15,05/15/05
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,3.99,02/16/93
Monkey Business,Sarah Mlynowski,3.67,09/24/04
Liar's Poker,Michael   Lewis,4.15,10/01/90
Liar's Poker: A Harry Garnish Mystery,Frank McConnell,3.31,06/01/93
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,4.08,03/01/01
Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,3.96,04/04/06
Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,3.95,02/22/05
Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4.09,04/03/07
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09,09/26/06
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,4.06,03/25/03
Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,3.92,10/01/04
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,10/17/06
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,3.97,08/01/06
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,12/08/06
The Last Assassin (John Rain  #5),Barry Eisler,4.27,06/01/06
Life of Pi,Yann Martel,3.91,05/03/04
L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,3.91,11/24/05
Shadows and Wind: A View of Modern Vietnam,Robert Templer,3.49,09/01/99
A Million Little Pieces,James Frey,3.65,09/22/05
A Million Little Pieces of Feces,Python Bonkers,3.56,02/10/06
A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41,03/28/06
The Leadership Challenge,James M. Kouzes/Barry Z. Posner,4.05,08/07/03
Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,4.14,02/01/93
Leadership in Organizations,Gary Yukl,3.68,07/07/05
Leadership,Rudolph W. Giuliani,3.72,10/01/02
Men Are from Mars  Women Are from Venus,John Gray,3.55,04/03/12
Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,3.62,10/21/98
Men Are from Mars  Women Are from Venus,John Gray,3.55,04/03/07
How to Succeed with Women,Ron  Louis/David Copeland,3.76,10/29/98
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,06/25/02
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,05/04/80
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,03/17/04
Juiced Official Strategy Guide,Doug Walsh,0,06/01/05
The 48 Laws of Power,Robert Greene/Joost Elffers,4.18,09/01/00
Gates of Fire,Steven Pressfield,4.42,09/27/05
Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,4.07,03/01/92
The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,3.58,06/18/01
The Afghan Campaign,Steven Pressfield,3.96,07/01/06
Tides of War,Steven Pressfield,3.9,08/28/01
Last of the Amazons,Steven Pressfield,3.76,07/01/03
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,4,04/01/03
Gita on the Green,Stephen J. Rosen/Steven Pressfield,3.78,05/30/02
Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,3.91,04/24/06
Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,4.1,01/30/73
Phaedrus,Plato/Robin Waterfield,3.92,01/16/03
Phaedrus,Plato/C.J. Rowe,3.92,08/25/05
Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,4.47,12/01/91
Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.5,02/11/19
On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,4.06,06/15/06
Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,4.35,09/01/98
Statesman,Plato/C.J. Rowe,3.85,03/15/99
Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,3.95,01/29/04
The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,3.99,01/30/03
The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,3.99,09/01/54
The History (Great Minds),Herodotus/Henry Francis Cary,3.99,11/01/92
The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,3.99,11/19/98
The Histories,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn,3.99,08/30/70
The Histories,Herodotus/Jennifer Tolbert Roberts/Walter Blanco,3.99,01/17/92
The Histories,Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas,3.99,03/25/97
The History,Herodotus/Peter Grene,3.99,03/14/87
The Iliad,Homer/Robert Fagles/Bernard Knox,3.86,04/29/99
Iliad,Homer/Stanley Lombardo/Sheila Murnaghan,3.86,03/12/97
The Iliad,Homer/Robert Fitzgerald/Andrew Ford,3.86,04/03/04
The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,4.04,11/01/99
The Iliad,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,3.86,01/30/03
The Iliad,Homer/W.H.D. Rouse,3.86,08/01/99
The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo,3.86,09/15/00
The Odyssey,Homer/Robert Fagles/Bernard Knox,3.76,11/30/06
The Odyssey,Homer/Robert Fitzgerald/D.S. Carne-Ross,3.76,11/05/98
The Odyssey,Homer/Richmond Lattimore,3.76,06/01/99
The Odyssey,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,3.76,01/30/03
The Odyssey,Homer/W.H.D. Rouse,3.76,08/01/99
Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,4.35,01/01/01
Eclogues. Georgics. Aeneid: Books 1-6,Virgil/Henry Rushton Fairclough/G.P. Goold,4.22,10/01/99
City Eclogue,Ed Roberson,4.13,01/30/06
The Eclogues and The Georgics,Virgil/Cecil Day-Lewis,3.8,09/02/99
Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Paul  Kirk,3.94,12/03/97
The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.5,11/07/02
The Complete Works,William Shakespeare,4.5,10/13/91
Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,4.02,08/01/05
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,4.44,02/01/94
The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Paulo Coelho/Alan R. Clarke,3.64,05/01/95
The Valkyries,Paulo Coelho/Alan R. Clarke,3.31,09/28/96
Warrior of the Light,Paulo Coelho,3.7,03/30/04
The Zahir,Paulo Coelho/Margaret Jull Costa,3.57,07/03/06
By the River Piedra I Sat Down and Wept,Paulo Coelho/Alan R. Clarke,3.57,05/23/06
The Fifth Mountain,Paulo Coelho/Clifford E. Landers,3.62,04/26/00
Veronika Decides to Die,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal,3.7,06/01/06
Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.02,12/01/01
Cliffs Notes on Shakespeare's Hamlet,Carla Lynn Stockton,3.69,05/30/00
Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,4.02,05/29/00
Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,4.29,03/24/15
History of the Peloponnesian War: Bk. 1-2,Thucydides/C.F. Smith,4.32,01/01/19
On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War,Thucydides/Paul Woodruff,3.72,10/01/93
History of the Peloponnesian War: Bk. 5-6,Thucydides/C.F. Smith,4.35,01/01/21
The Peloponnesian War,Thucydides/Steven Lattimore,3.9,06/01/98
The Peloponnesian War: A New Translation  Backgrounds  Interpretations,Thucydides/Jennifer Tolbert Roberts/Walter Blanco,3.9,07/17/98
History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,4.29,01/01/23
Thucydides  Book 6 Commentary,Cynthia W. Shelmerdine,4.5,01/30/89
Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone,4.03,02/15/55
Euripides V: Electra / The Phoenician Women / The Bacchae,Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith,4.21,01/15/69
Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker,4.21,11/15/68
Grief Lessons: Four Plays by Euripides,Anne Carson/Euripides,4.4,08/01/06
Ten Plays,Euripides/Moses Hadas/John Maclean,4.17,08/01/90
Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7),Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts,4,01/15/92
Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen,Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith,4.31,04/15/02
Medea and Other Plays,Euripides/John Davie/Richard Rutherford,4.03,03/27/03
Cyclops / Alcestis / Medea,Euripides/David Kovacs,4.23,01/01/94
Medea,Euripides/Donald J. Mastronarde,3.87,09/16/02
The Bacchae and Other Plays,Euripides/John Davie/Richard Rutherford,4.14,01/26/06
Bakkhai,Euripides/Reginald Gibbons/Peter H. Burian,3.88,02/22/01
Plays 1: Medea/The Phoenician Women/Bacchae,Euripides/David Thompson/J. Michael Walton,3.78,11/09/00
The Trojan Women and Hippolytus,Euripides,3.63,07/17/02
The Bacchae of Euripides: A Communion Rite,Wole Soyinka,3.86,07/17/04
Orestes and Other Plays,Euripides/James Morwood/Robin Waterfield,4.1,12/20/01
Children of Heracles / Hippolytus / Andromache / Hecuba,Euripides/David Kovacs,4.26,02/15/95
Alcestis,Euripides/William Arrowsmith,3.83,02/01/90
Suppliant Women / Electra / Heracles,Euripides/David Kovacs,4.47,09/01/98
Medea,Euripides/Georgia Ann Machemer/Michael   Collier,3.87,08/10/06
Euripides: Medea,William Allan,4.04,10/31/02
CliffsNotes on Euripides' Medea and Electra,Robert J. Milch,4.2,09/13/65
Trojan Women / Iphigenia Among the Taurians / Ion,Euripides/David Kovacs,4.03,12/01/99
Helen / Phoenician Women / Orestes,Euripides/David Kovacs,4.07,06/15/02
Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy),Euripides/Pantelis Michelakis,4.03,03/09/06
The Complete Greek Tragedies  Volume 3: Euripides,Euripides/David Grene/Richmond Lattimore,4.43,08/01/92
Aeschylus I: Oresteia (Agamemnon  The Libation Bearers  The Eumenides),Aeschylus/David Grene/Richmond Lattimore,4.02,05/15/69
Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies),Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,4.1,02/01/92
The Oresteia,Aeschylus/Alan Shapiro/Peter H. Burian,4.02,10/07/04
The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus/Robert Fagles/William Bedell Stanford,4.02,02/07/84
Oresteia,Aeschylus/Peter Meineck/Helene P. Foley,4.02,09/15/98
Prometheus Bound and Other Plays,Aeschylus/Philip Vellacott,4.1,08/30/61
The Oresteia,Aeschylus/Ted Hughes,4.02,09/04/04
Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,Aeschylus/David R. Slavitt/Smith Palmer Bovie,4.02,11/01/97
The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus/Richmond Lattimore/David Grene,4.1,08/01/92
Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature),Simon Goldhill,4.03,01/22/04
The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260),Aeschylus/George Thomson/Richard Seaford,4.02,01/20/04
Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,Aeschylus/David R. Slavitt/Smith Palmer Bovie,4.1,01/01/98
The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies,Aeschylus/E.D.A. Morshead,4.02,09/24/96
The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,Aeschylus/E.D.A. Morshead,4.1,06/17/04
Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4),Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson,4.14,05/15/69
The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles/Paul Roche,3.97,05/01/96
The Complete Plays,Sophocles/Paul Roche,4.27,03/01/01
The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,Sophocles/Robert Fitzgerald/Dudley Fitts,3.97,11/01/02
The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,Sophocles/Robert Fagles/Bernard Knox,3.97,01/03/00
Theban Plays,Sophocles/Peter Meineck/Paul Woodruff,3.97,03/15/03
The Theban Plays (Everyman's Library  #93),Sophocles/David Grene/Charles Segal,3.97,10/18/94
Electra and Other Plays,Sophocles/E.F. Watling,4.14,04/30/53
Antigone; Oedipus the Kingn; Electra,Sophocles/Edith Hall/H.D.F. Kitto,3.94,09/17/98
Oedipus Rex  (The Theban Plays  #1),Sophocles/J.E. Thomas,3.7,06/22/06
The Oedipus Plays of Sophocles,Sophocles/Paul Roche,3.97,09/01/58
Oedipus Rex (Greek and Latin Classics),Sophocles/Roger D. Dawe,3.7,08/01/06
Oedipus the King,Sophocles/Bernard Knox/Cynthia Brantley Johnson,3.7,07/01/05
Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker,4.06,11/01/84
Three Plays by Aristophanes: Lysistrata/Women at the Thesmophoria/Assemblywomen,Aristophanes/Jeffrey Henderson,3.94,08/27/96
The Complete Plays,Aristophanes/Moses Hadas,4.21,03/01/84
Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth,Aristophanes/David R. Slavitt,3.83,01/29/98
Clouds/Wasps/Birds (Aristophanes 1),Aristophanes/Peter Meineck,3.77,09/15/98
Lysistrata and Other Plays,Aristophanes/Alan H. Sommerstein,3.95,01/30/03
Acharnians,Aristophanes/Jeffrey Henderson,3.42,05/01/03
Clouds,Aristophanes/Kenneth James Dover,3.75,12/15/69
Clouds/Wasps/Peace,Aristophanes/Jeffrey Henderson,4.07,12/15/98
Three Plays: The Wasps / The Poet and the Women / The Frogs,Aristophanes/David B. Barrett,3.94,02/28/64
Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day,Aristophanes/Dudley Fitts,4.03,01/06/03
Frogs/Assemblywomen/Wealth (Loeb Classical Library 180),Aristophanes/Jeffrey Henderson,4.21,05/01/02
Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,W. John Campbell,2.8,12/29/83
Aristophanes and Athens: An Introduction to the Plays,Douglas M. MacDowell,4.07,10/01/95
Lysistrata,Aristophanes/Douglass Parker,3.85,02/01/70
Peace,Aristophanes/S. Douglas Olson,3.6,02/25/99
Lysistrata,Aristophanes/Sarah Ruden,3.85,03/01/03
The Knights / Peace / The Birds / The Assembly Women / Wealth,Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett,3.69,07/27/78
Genres in Dialogue: Plato and the Construct of Philosophy,Andrea Wilson Nightingale,4.33,04/13/00
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,05/18/04
The Night Gardener,George Pelecanos,3.64,08/08/06
Twelfth Night,William Shakespeare,3.98,07/01/04
Brokeback Mountain,Annie Proulx,3.94,12/02/05
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,3.99,12/31/02
Getting Things Done When You Are Not in Charge,Geoffrey M. Bellman,3.46,08/27/01
Formas breves,Ricardo Piglia,4.17,06/01/01
El último lector,Ricardo Piglia,4.14,07/15/09
Money to Burn,Ricardo Piglia/Amanda Hopkinson,3.76,08/01/04
Respiración artificial,Ricardo Piglia,3.96,03/01/08
Plata quemada,Ricardo Piglia,3.76,07/01/05
American Government: Continuity and Change  Alternate Edition,Karen  O'Connor/Larry J. Sabato,2.83,03/11/05
Essentials of American and Texas Government: Continuity and Change,Karen  O'Connor/Larry J. Sabato,3.5,07/29/05
El túnel,Ernesto Sabato,4.05,07/01/03
The Confessions (Works of Saint Augustine 1),Augustine of Hippo/John E. Rotelle/Maria Boulding,3.92,12/01/02
The City of God,Augustine of Hippo/Thomas Merton/Marcus Dods,3.92,09/12/00
The Enchiridion on Faith Hope and Love (Augustine Series 1),Augustine of Hippo/Bruce Harbert/John E. Rotelle,4.04,10/01/99
Augustine of Hippo: A Biography,Peter R.L. Brown,4.27,11/24/00
On Christian Doctrine,Augustine of Hippo/D.W. Robertson Jr.,4.03,01/11/58
Confessions  Books 1-13,Augustine of Hippo/Peter R.L. Brown/Frank Sheed,3.92,01/01/93
Saint Augustine,Garry Wills,3.55,08/30/05
Augustine: A Very Short Introduction,Henry Chadwick,3.71,06/07/01
On Genesis/A Refutation of the Manichees/The Unfinished Literal Meaning of Genesis (Works of St Augustine 1),Augustine of Hippo/Boniface Ramsey/Edmund Hill,3.94,05/01/04
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,4.07,05/01/01
Confesiones de un chef,Anthony Bourdain,4.07,02/01/03
The Metamorphoses of Ovid,Ovid/Allen Mandelbaum,4.05,04/15/95
Metamorphoses,Ovid/David Raeburn/Denis Feeney,4.05,08/03/04
Metamorphoses,Ovid/Bernard Knox/Charles    Martin,4.05,11/17/03
Ovid's Metamorphoses: Books 1-5,Ovid/William Scovil Anderson,4.27,01/15/98
Ovid’s Metamorphoses: Books 6-10,Ovid/William Scovil Anderson,4.32,01/15/78
Latin Via Ovid: A First Course,Norma Goldman/Jacob E. Nyenhuis,4.36,09/01/82
The Art of Love and Other Poems,Ovid/J.H. Mozley/G.P. Goold,4.02,01/01/29
The Poems of Exile: Tristia and the Black Sea Letters,Ovid/Peter Green,4.12,01/18/05
Metamorphoses: Volume 2  Books IX-XV,Ovid/Frank Justus Miller,4.52,01/01/85
Metamorphoses: Volume I  Books I-VIII,Ovid/Frank Justus Miller,4.42,01/01/77
Practice! Practice!: A Latin Via Ovid Workbook,Norma Goldman/Michael  Rossi,4.08,07/01/95
Tibullus: A Commentary,Michael C.J. Putnam,3.71,11/15/79
Dionysiac Poetics and Euripides' Bacchae,Charles Segal,4.62,11/16/97
Antigone,Sophocles/Reginald Gibbons/Charles Segal,3.64,09/01/07
Antigone,Sophocles/Reginald Gibbons/Charles Segal,3.64,06/05/03
Object-Oriented Programming in C++,Richard Johnsonbaugh/Martin Kalin,4.07,08/13/99
The Iliad,Homer/Robert Fitzgerald,3.86,03/19/92
Love  Sex & Tragedy: How the Ancient World Shapes Our Lives,Simon Goldhill,3.79,11/01/05
Reading Greek Tragedy,Simon Goldhill,4.12,08/05/86
Who Needs Greek? Contests in the Cultural History of Hellenism,Simon Goldhill,3.4,04/04/02
Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture),Simon Goldhill,3.73,01/26/95
2012: The Return of Quetzalcoatl,Daniel Pinchbeck,3.42,05/04/06
Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism,Daniel Pinchbeck/Lee Fukui,4.06,08/12/03
Them: Adventures with Extremists,Jon Ronson,3.95,01/07/03
The Men Who Stare at Goats,Jon Ronson,3.61,04/10/06
Guns  Germs and Steel: The Fates of Human Societies,Jared Diamond,4.03,07/11/05
Caught Inside: A Surfer's Year on the California Coast,Daniel Duane,3.87,04/10/97
Into the Wild,Jon Krakauer,3.98,01/20/97
Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,3.92,04/01/01
Wild Swans: Three Daughters of China,Jung Chang,4.26,08/12/03
Wild Fire (John Corey  #4),Nelson DeMille,4.01,11/06/06
Born to Be Wild,Catherine Coulter,3.78,07/25/06
The Call of the Wild,Jack London/Avi,3.86,01/01/01
Wild About Books,Judy Sierra/Marc Brown,4.17,08/10/04
In Web Design for Libraries,Charles P. Rubenstein,2.67,12/01/06
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,3.63,05/01/02
The History of Sexuality 1: An Introduction,Michel Foucault/Robert Hurley,4.04,10/01/78
The History of Sexuality  Volume 1: The Will to Knowledge,Michel Foucault/Robert Hurley,4.04,10/29/98
The History of Sexuality  Volume 2: The Use of Pleasure,Michel Foucault/Robert Hurley,4.08,07/30/98
The Making of Pride and Prejudice,Sue Birtwistle/Sue Conklin/Susie Conklin,4.45,09/07/95
Pride and Prejudice,Jane Austen,4.26,02/11/04
Pride & Prejudice,Jane Austen/Vivien Jones,4.26,09/01/05
Pride and Prejudice,Jane Austen/George Saintsbury/Hugh  Thomson,4.26,05/05/05
Pride and Prejudice,Jane Austen/Carol Howard,4.26,09/20/04
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4,07/10/03
